label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1618,34.1,-0.06,9.68,-5.1,-0.3,-376.94,30.7,20.0
vol_velocity,4617,32.8,-0.53,8.67,-5.02,-4.79,-2541.39,27.1,16.1
vol_expansion,16390,32.4,-0.82,9.15,-5.61,-13.22,-14003.5,26.2,15.0
rsi_ignition,4845,31.6,-0.86,8.72,-5.29,-8.16,-4347.46,24.8,13.7
macd_crossover,3915,29.6,-1.03,8.47,-5.03,-9.3,-4130.2,24.1,14.5
trend_strong,38732,29.3,-1.08,8.79,-5.16,-29.73,-42543.52,25.5,15.4
rs_acceleration,9241,29.4,-1.11,9.42,-5.5,-14.29,-10540.51,27.6,17.7
atr_expanding,33198,28.9,-1.11,10.06,-5.65,-25.52,-37577.26,26.7,15.8
stealth_accum,15518,30.1,-1.11,7.01,-4.6,-22.36,-17748.96,20.4,10.8
cmf,33467,29.4,-1.12,8.29,-5.04,-29.6,-38941.93,23.0,13.4
rsi_divergence,7971,29.5,-1.14,8.77,-5.3,-14.29,-9335.37,25.1,14.6
bb_squeeze,28457,28.7,-1.15,8.0,-4.83,-30.4,-33481.04,23.3,13.1
rsi_in_zone,54787,29.5,-1.16,8.33,-5.12,-38.84,-65402.29,22.8,13.0
macd_turning,10343,29.0,-1.2,8.65,-5.21,-17.17,-12757.22,23.1,13.9
declining_sell_vol,38777,28.8,-1.26,8.49,-5.19,-35.23,-49699.17,22.8,13.4
rs_vs_btc,26797,27.0,-1.45,9.38,-5.46,-31.62,-39806.88,24.6,14.6
higher_lows,14929,24.6,-1.82,8.69,-5.25,-33.34,-28450.79,21.7,12.5
